Designator,Mid X,Mid Y,Rotation,Layer
C24,164.228912,-83.194057,0.0,bottom
C25,184.219154,-93.403246,0.0,bottom
C26,144.517154,-82.848055,0.0,bottom
C27,158.451413,-83.079059,0.0,bottom
C28,146.445,-80.99,180.0,top
C29,158.845,-81.26,180.0,top
C3,184.77,-97.57,90.0,top
C30,149.735,-75.59,180.0,top
C31,162.065,-75.86,180.0,top
C32,142.3675,-80.78,0.0,top
C33,154.64,-81.28,0.0,top
C34,154.64,-82.79,0.0,top
C35,142.385,-82.25,0.0,top
C36,167.61575,-121.960546,90.0,top
C37,161.57055,-121.909746,90.0,top
C38,167.6,-115.46,180.0,bottom
C39,162.781554,-110.455054,180.0,bottom
C4,182.81,-97.57,90.0,top
C40,162.78,-113.32,0.0,bottom
C41,166.47,-112.87,180.0,bottom
C42,166.49,-109.55,0.0,bottom
C43,164.88,-112.29,90.0,bottom
C44,162.781554,-109.515254,180.0,bottom
C45,166.48,-110.77,0.0,bottom
C46,166.48,-111.91,0.0,bottom
C47,167.6,-114.51,180.0,bottom
C48,163.01,-107.92,270.0,bottom
C49,161.645594,-112.128594,180.0,bottom
C5,180.81,-97.57,90.0,top
C50,167.89,-116.7,180.0,bottom
C51,169.45,-116.06,180.0,top
C52,172.92,-115.74,0.0,top
C53,172.3854,-103.722,0.0,top
C54,122.631174,-88.430404,90.0,bottom
C55,118.8212,-86.106,90.0,top
C56,120.116614,-87.211204,90.0,bottom
C57,119.7752,-86.106,90.0,top
C58,115.797,-99.5732,270.0,top
C59,111.8308,-110.7164,0.0,top
C6,168.2575,-73.53,0.0,bottom
C60,111.353604,-92.062614,0.0,bottom
C61,113.21,-95.82,0.0,bottom
C62,112.369604,-94.856584,0.0,bottom
C63,123.5367,-92.7734,0.0,top
C64,111.353604,-90.970414,0.0,bottom
C65,112.98,-120.92,180.0,top
C66,111.175804,-89.268584,90.0,bottom
C67,120.107,-99.5232,90.0,top
C68,113.715794,-88.785984,90.0,bottom
C69,119.049794,-89.319384,0.0,bottom
C7,172.132654,-90.822854,180.0,bottom
C70,109.956614,-96.482184,0.0,bottom
C71,123.5367,-93.7386,0.0,top
C72,121.967,-99.5132,270.0,top
C73,121.037,-99.5132,270.0,top
C74,119.253004,-98.742794,270.0,bottom
C75,120.844524,-98.158594,180.0,bottom
C76,110.04,-93.4982,180.0,top
C77,110.04,-94.438,180.0,top
C78,110.04,-94.26,0.0,bottom
C79,110.04,-95.1998,0.0,bottom
C8,181.372654,-96.675746,270.0,bottom
C80,114.67,-83.16,270.0,top
C81,114.540534,-104.051424,90.0,top
C82,117.68,-83.12,90.0,top
C83,111.0,-85.19,90.0,top
C84,116.598524,-104.051414,270.0,top
C85,112.594224,-104.051424,270.0,top
C86,116.59,-83.14,90.0,top
C87,109.84,-85.19,90.0,top
C88,117.588514,-104.051394,270.0,top
C89,113.574214,-104.051404,270.0,top
C9,172.152654,-97.132854,0.0,bottom
C90,112.28,-85.19,270.0,top
C91,119.620544,-104.051404,90.0,top
C92,133.527814,-91.224394,0.0,bottom
C93,139.065014,-88.023994,0.0,bottom
C94,133.578584,-95.288404,0.0,bottom
C95,133.6,-92.69,0.0,bottom
C96,140.030174,-91.986424,0.0,bottom
C97,137.35,-94.7,90.0,bottom
C98,137.44,-96.89,90.0,bottom
C99,149.446574,-96.383444,180.0,top
CA1,187.042654,-94.893246,180.0,bottom
CA10,180.086,-80.2386,270.0,bottom
CA11,183.06,-80.94,180.0,top
CA2,184.219154,-94.883246,0.0,bottom
CA3,163.8925,-118.59,0.0,top
CA4,167.0,-116.3,270.0,top
CA5,176.763854,-74.965854,90.0,top
CA6,178.28,-72.52,180.0,top
CA7,117.78,-117.12,0.0,top
CA8,114.4073,-113.6778,270.0,top
CA9,173.57,-84.68,0.0,top
CY1,118.187,-99.7532,0.0,top
CY2,136.4442,-107.8545,90.0,top
D1,178.57,-96.9275,90.0,top
D2,116.39,-121.63,180.0,top
D3,113.03,-68.6422,0.0,top
D4,107.823,-68.6308,0.0,top
J1,193.908154,-92.624654,90.0,top
J10,101.02,-113.24,270.0,top
J11,101.0158,-78.3336,270.0,top
J12,101.02,-101.59,270.0,top
J13,148.125754,-115.789054,180.0,top
J2,193.908154,-79.924654,90.0,top
J3,184.292654,-67.782854,270.0,top
J4,118.599854,-70.231854,90.0,top
J5,152.545354,-70.328054,90.0,top
J6,135.567054,-70.231854,90.0,top
J7,176.4722,-115.746801,90.0,top
J8,109.14,-121.38,90.0,top
J9,101.0158,-89.9668,270.0,top
L1,171.9508,-77.222801,180.0,bottom
L10,172.36,-105.5,0.0,top
L11,118.71,-83.14,90.0,top
L12,115.556534,-104.051414,270.0,top
L13,115.64,-83.17,90.0,top
L14,118.604554,-104.051404,270.0,top
L2,167.4804,-81.032801,270.0,bottom
L3,171.6206,-81.845601,0.0,bottom
L4,181.272754,-88.001454,90.0,bottom
L5,184.523954,-91.684454,180.0,bottom
L6,123.5567,-94.6832,180.0,top
L7,154.62,-79.74,180.0,top
L8,142.3775,-79.32,180.0,top
L9,169.61,-114.35,0.0,top
Q1,173.632654,-93.902854,0.0,bottom
Q2,169.792654,-93.902854,0.0,bottom
Q3,112.014,-71.614,90.0,top
Q4,107.0102,-71.5378,90.0,top
QA1,179.604154,-92.526654,90.0,top
QA2,183.044154,-92.546654,90.0,top
QA3,176.124154,-92.576654,90.0,top
R1,168.4428,-90.2514,180.0,bottom
R10,145.274653,-78.623053,180.0,bottom
R11,145.284654,-77.668051,0.0,bottom
R12,149.735,-76.53,180.0,top
R13,149.745,-77.48,0.0,top
R14,162.075,-76.8,180.0,top
R15,162.075,-77.76,0.0,top
R16,164.0852,-105.15,270.0,top
R17,163.12,-105.15,270.0,top
R18,167.08,-105.15,270.0,top
R19,165.18,-105.15,270.0,top
R2,168.4528,-91.2114,180.0,bottom
R20,158.5,-111.0396,0.0,top
R21,166.13,-105.15,90.0,top
R22,158.46,-109.62,180.0,top
R23,160.57,-114.81,0.0,top
R24,158.5,-112.0048,0.0,top
R25,168.03,-105.15,270.0,top
R26,158.49,-113.42,0.0,top
R27,188.59,-113.58,90.0,bottom
R28,188.44,-106.54,270.0,bottom
R29,118.15,-113.85,180.0,top
R3,175.242654,-97.132854,0.0,bottom
R30,113.0275,-122.32,0.0,top
R31,110.06,-92.5582,0.0,top
R32,110.06,-93.3202,180.0,bottom
R33,149.466554,-97.348644,180.0,top
R34,149.466554,-98.339244,0.0,top
R35,148.780754,-92.522644,180.0,top
R36,148.780754,-93.487844,0.0,top
R37,147.319984,-95.618594,180.0,bottom
R38,146.888184,-97.168014,180.0,bottom
R39,146.55,-106.86,0.0,top
R4,164.782813,-75.893658,180.0,bottom
R40,137.515604,-91.021234,270.0,bottom
R41,141.223974,-93.637404,0.0,bottom
R42,138.99,-93.62,180.0,bottom
R43,139.039604,-95.796394,270.0,bottom
R44,152.481574,-90.056004,0.0,top
R45,166.220584,-93.592804,0.0,top
R46,162.8648,-86.36,180.0,bottom
R47,155.321,-90.8812,90.0,bottom
R48,159.41,-92.33,90.0,bottom
R5,164.802813,-74.933658,0.0,bottom
R51,126.1925,-122.18,90.0,top
R52,126.1825,-119.57,270.0,top
R53,121.2925,-122.27,270.0,top
R56,122.07,-81.8,0.0,top
R6,178.482654,-95.383246,90.0,bottom
R7,177.542654,-95.393246,270.0,bottom
R8,159.251413,-78.849059,180.0,bottom
R9,159.248912,-77.904057,0.0,bottom
RA1,183.086604,-79.984594,0.0,top
RA10,182.340004,-78.810004,0.0,top
RA11,136.03,-116.12,0.0,top
RA12,125.57,-113.62,0.0,top
RA13,125.59,-116.17,180.0,top
RA14,125.58,-117.42,0.0,top
RA15,136.03,-117.35,0.0,top
RA16,125.6,-114.83,180.0,top
RA17,136.03,-114.86,180.0,top
RA18,136.03,-113.64,0.0,top
RA19,137.4967,-104.9993,270.0,top
RA2,185.43,-93.4,90.0,top
RA20,143.306794,-103.035414,270.0,bottom
RA21,143.97,-103.36,0.0,top
RA22,147.929604,-101.943214,180.0,bottom
RA23,130.04,-73.25,270.0,top
RA24,127.2942,-97.9614,0.0,top
RA25,136.8552,-103.4034,180.0,top
RA26,127.3075,-98.91,0.0,top
RA27,141.75,-104.284646,180.0,top
RA28,113.2332,-67.1944,0.0,top
RA29,108.1532,-67.169,0.0,top
RA3,172.58,-71.26,180.0,top
RA4,182.460001,-86.86745,90.0,top
RA5,147.28,-72.84,0.0,top
RA6,108.8955,-113.7794,270.0,top
RA7,179.270654,-76.959654,0.0,top
RA8,112.750614,-98.412614,0.0,bottom
RA9,177.93,-78.37,0.0,bottom
SW1,135.455,-76.3,0.0,top
T1,117.13,-77.9575,180.0,top
T2,111.2375,-81.53,90.0,top
T3,116.9725,-108.67,90.0,top
T4,109.01,-104.2475,180.0,top
U1,172.458954,-68.951454,0.0,top
U10,164.203954,-110.566255,180.0,top
U11,111.7038,-113.3834,0.0,top
U12,116.897,-92.5132,0.0,top
U13,177.777654,-80.686254,0.0,top
U14,137.453054,-93.631654,180.0,top
U15,130.8354,-115.5192,0.0,top
U16,128.4986,-107.5944,270.0,top
U17,130.23,-121.88,0.0,top
U18,159.7408,-93.5422,180.0,top
U19,123.745,-122.145,0.0,top
U2,179.53,-86.49,90.0,top
U21,126.43,-81.7625,0.0,top
U3,168.08,-76.04,0.0,bottom
U4,180.252654,-91.945746,270.0,bottom
U5,163.201413,-80.184058,180.0,bottom
U6,149.227154,-79.453054,180.0,bottom
U7,158.69,-78.74,0.0,top
U8,146.375,-78.45,0.0,top
U9,164.55795,-121.9005,180.0,top
V1,187.99,-80.32,0.0,top
V2,187.99,-79.14,0.0,top
V3,189.29,-78.22,270.0,top
Y1,164.47,-116.48,270.0,top
Y2,179.329254,-74.610254,270.0,top
Y3,125.69,-76.87,0.0,top
